# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 25 23:42:45 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# TESS + 2MASS (Vegamags) + Kepler + SDSS <i>griz</i> + DDO51 (in ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
,Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,TESSmag,Jmag,Hmag,Ksmag,Keplermag,gmag,rmag,imag,zmag,DDO51_finfmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
34,0.0152,0.015080000000000001,9.0,1.0192395449,2.4768557549000003,1.0190000000000001,-0.049,3.7657,4.51,1,0.0,0.537,0.0,0.0,-1,-6e-14,0.0,0.7176,0.2675,0.002639,0.0007207000000000001,0.006548,-1.0,0.01487,4.8919999999999995,4.294,3.767,3.466,3.4210000000000003,4.824,5.229,4.753,4.648,4.637,5.053999999999999,4.755,5.082,5.11,4.282
35,0.0152,0.015080000000000001,9.0,1.0499999523,2.4828116894,1.0490000000000002,0.016,3.7734,4.488,1,0.0,0.537,0.0,0.0,-1,-6.73e-14,0.0,0.7188,0.2664,0.002629,0.0007181,0.006523999999999999,-1.0,0.014790000000000001,4.729,4.147,3.6430000000000002,3.358,3.318,4.66,5.032,4.593,4.5,4.498,4.863,4.59,4.899,4.925,4.135
36,0.0152,0.015080000000000001,9.0,1.1000000238,2.4916803837,1.099,0.11900000000000001,3.7848,4.4510000000000005,1,0.0,0.537,0.0,0.0,-1,-8.03e-14,0.0,0.7219,0.2634,0.002604,0.0007113999999999999,0.006464,-1.0,0.014669999999999999,4.4719999999999995,3.915,3.443,3.1830000000000003,3.148,4.404,4.729,4.341,4.266,4.2780000000000005,4.57,4.33,4.615,4.637,3.903
37,0.0152,0.015080000000000001,9.0,1.1228656769,2.495434761,1.122,0.165,3.7897,4.434,1,0.0,0.537,0.0,0.0,-1,-8.65e-14,0.0,0.7236,0.2618,0.002591,0.0007078,0.006431999999999999,-1.0,0.01461,4.357,3.812,3.353,3.103,3.069,4.291,4.5969999999999995,4.23,4.163,4.178999999999999,4.442,4.216,4.49,4.512,3.8
38,0.0152,0.015080000000000001,9.0,1.1499999762,2.4996678829,1.149,0.218,3.7952,4.413,1,0.0,0.537,0.0,0.0,-1,-9.45e-14,0.0,0.7257,0.2597,0.002574,0.0007034,0.006393,-1.0,0.01454,4.224,3.693,3.2489999999999997,3.01,2.978,4.16,4.444,4.101,4.042,4.065,4.296,4.083,4.346,4.3660000000000005,3.68
39,0.0152,0.015080000000000001,9.0,1.2000000477,2.5068950653,1.199,0.314,3.805,4.375,1,0.0,0.537,0.0,0.0,-1,-1.1e-13,0.0,0.7258,0.2596,0.002581,0.0007056,0.006414,-1.0,0.01457,3.984,3.478,3.0610000000000004,2.841,2.813,3.925,4.171,3.8689999999999998,3.827,3.86,4.034,3.845,4.088,4.106,3.465
40,0.0152,0.015080000000000001,9.0,1.25,2.513461113,1.25,0.405,3.8142,4.338,1,0.0,0.536,0.0,0.0,-1,-1.24e-13,0.0,0.726,0.2594,0.002581,0.0007056,0.0064150000000000006,-1.0,0.014580000000000001,3.7560000000000002,3.2739999999999996,2.8819999999999997,2.681,2.655,3.702,3.915,3.65,3.622,3.665,3.7880000000000003,3.62,3.844,3.861,3.262
41,0.0152,0.015080000000000001,9.0,1.2999999523,2.5194499493,1.3,0.49200000000000005,3.8228,4.303,1,0.0,0.536,0.0,0.0,-1,-1.3800000000000002e-13,0.0,0.7263,0.2591,0.002579,0.000705,0.006409000000000001,-1.0,0.0146,3.5410000000000004,3.0789999999999997,2.7110000000000003,2.5269999999999997,2.503,3.49,3.673,3.4410000000000003,3.426,3.4789999999999996,3.556,3.405,3.614,3.63,3.0669999999999997
42,0.0152,0.015080000000000001,9.0,1.3080345392000001,2.5203633308,1.308,0.505,3.8243,4.298,1,0.0,0.536,0.0,0.0,-1,-1.3900000000000001e-13,0.0,0.7263,0.2591,0.002579,0.0007051000000000001,0.006411,-1.0,0.01459,3.5069999999999997,3.049,2.685,2.504,2.48,3.457,3.635,3.408,3.3960000000000004,3.45,3.52,3.372,3.5780000000000003,3.594,3.037
43,0.0152,0.015080000000000001,9.0,1.3500001431,2.5249314308,1.35,0.574,3.8315,4.272,1,0.0,0.537,0.0,0.0,-1,-1.4800000000000003e-13,0.0,0.7258,0.2596,0.002583,0.0007062,0.00642,-1.0,0.014580000000000001,3.335,2.8939999999999997,2.55,2.384,2.3609999999999998,3.287,3.4419999999999997,3.241,3.241,3.303,3.335,3.201,3.395,3.409,2.8819999999999997
44,0.0152,0.015080000000000001,9.0,1.4000000953999998,2.5299651623,1.4,0.652,3.8402,4.245,1,0.0,0.537,0.0,0.0,-1,-1.5399999999999997e-13,0.0,0.7258,0.2596,0.002582,0.0007058,0.006416,-1.0,0.0146,3.139,2.72,2.4,2.252,2.231,3.096,3.222,3.052,3.0669999999999997,3.138,3.125,3.0069999999999997,3.1860000000000004,3.2,2.7089999999999996
45,0.0152,0.015080000000000001,9.0,1.4404820204,2.533747673,1.4409999999999998,0.7140000000000001,3.8479,4.227,1,0.0,0.537,0.0,0.0,-1,-1.5399999999999997e-13,0.0,0.7261,0.2593,0.0025800000000000003,0.0007052,0.006411,-1.0,0.01462,2.986,2.588,2.2880000000000003,2.156,2.135,2.947,3.05,2.906,2.9339999999999997,3.014,2.96,2.8560000000000003,3.023,3.036,2.577
46,0.0152,0.015080000000000001,9.0,1.4500000477000001,2.5346016884,1.45,0.728,3.8497,4.2219999999999995,1,0.0,0.537,0.0,0.0,-1,-1.5399999999999997e-13,0.0,0.7261,0.2592,0.002579,0.0007051000000000001,0.006409999999999999,-1.0,0.01463,2.95,2.557,2.262,2.133,2.112,2.9130000000000003,3.01,2.873,2.903,2.985,2.9219999999999997,2.821,2.985,2.998,2.546
